FILE INFORMATION:

   Simulation name: ExIF3b
   Simulation type: Experimental
   Domain:  
   dt: 0.125
   wind_beta: 0.5
   depth: 250
   dz: 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10
   strt_mon: 6
   strt_day: 1
   days: 180
   dt_save: 60
   lat: 50
   rkz_surf: 1e-05
   diagnostics: 1
   biol: 0
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   dn2ar_deep: 0.015
   param: l13

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ]
0.000,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,0.000,0.000,26.000,100.000,100.000,100.000,313.990,15.377,568.794,331.508,16.227,606.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.125,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.000,26.000,100.002,100.002,100.002,313.990,15.377,568.794,331.508,16.227,606.784,-0.001,0.005,0.010,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.001,0.019,0.016,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.250,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.001,26.000,100.004,100.004,100.004,313.990,15.377,568.794,331.508,16.227,606.784,-0.001,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.001,0.019,0.016,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.375,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.001,26.000,100.005,100.005,100.007,313.990,15.377,568.794,331.508,16.227,606.784,-0.002,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.002,0.019,0.016,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.500,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.002,26.000,100.007,100.007,100.009,313.990,15.377,568.794,331.508,16.227,606.784,-0.002,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.003,0.019,0.016,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.625,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.002,26.000,100.009,100.009,100.011,313.990,15.377,568.794,331.508,16.227,606.784,-0.002,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.003,0.019,0.016,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.750,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.003,26.000,100.011,100.011,100.013,313.990,15.377,568.794,331.508,16.227,606.784,-0.002,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.004,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.875,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.003,26.000,100.012,100.013,100.015,313.990,15.377,568.794,331.508,16.227,606.784,-0.003,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.004,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.000,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.004,26.000,100.014,100.014,100.017,313.990,15.377,568.794,331.508,16.227,606.784,-0.003,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.005,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.125,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.004,26.000,100.016,100.016,100.020,313.990,15.377,568.794,331.508,16.227,606.784,-0.003,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.006,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.250,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.004,26.000,100.017,100.018,100.022,313.990,15.377,568.794,331.508,16.227,606.784,-0.004,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.006,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.375,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.000,-0.005,26.000,100.019,100.019,100.024,313.990,15.377,568.794,331.508,16.227,606.784,-0.004,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.007,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.500,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.001,-0.005,26.000,100.021,100.021,100.026,313.990,15.377,568.794,331.508,16.227,606.784,-0.004,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.008,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.625,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.001,-0.006,26.000,100.022,100.023,100.028,313.990,15.377,568.794,331.508,16.227,606.784,-0.005,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.008,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.750,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.001,-0.006,26.000,100.024,100.024,100.030,313.990,15.377,568.794,331.508,16.227,606.784,-0.005,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.009,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.875,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.001,-0.007,26.000,100.025,100.026,100.032,313.990,15.377,568.794,331.508,16.227,606.784,-0.005,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.009,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
2.000,6.000,3.728,32.359,32.397,1025.911,5.000,0.000,1013.250,-0.001,-0.007,26.000,100.027,100.028,100.034,313.990,15.377,568.794,331.508,16.227,606.784,-0.005,0.005,0.009,0.058,-0.027,0.000,0.000,-0.000,0.000,0.001,0.003,-0.001,0.000,-0.010,0.019,0.015,0.126,-0.058,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
